message_size,throughput,strategy,local_network_size,foreign_network_size
100,17736.315390447307,Kafka,4,4
100,17740.25182778229,Kafka,4,4
100,19103.085981118667,Kafka,4,4
100,26236.125893264405,Kafka,4,4
100,19947.909804915125,Kafka,4,4
100,19775.13535394424,Kafka,4,4
100,21387.30753646677,Kafka,4,4
100,25899.329200121963,Kafka,4,4
1000,19741.78546153069,Kafka,4,4
1000,20324.88234401093,Kafka,4,4
1000,23108.090286583814,Kafka,4,4
1000,22329.63918830019,Kafka,4,4
1000,20659.42285338859,Kafka,4,4
1000,23578.585163444997,Kafka,4,4
1000,24413.82795916304,Kafka,4,4
1000,20132.29493273996,Kafka,4,4
10000,2008.960664202906,Kafka,4,4
10000,1807.246596832144,Kafka,4,4
10000,2371.1772734165697,Kafka,4,4
10000,1999.5954487989889,Kafka,4,4
10000,2127.3701774788897,Kafka,4,4
10000,2127.281921618205,Kafka,4,4
10000,2226.488592097941,Kafka,4,4
10000,1915.5200323755564,Kafka,4,4
100000,215.9693130772725,Kafka,4,4
100000,420.9435202507964,Kafka,4,4
100000,212.16880287755205,Kafka,4,4
100000,413.8122944599039,Kafka,4,4
100000,207.35346179133165,Kafka,4,4
100000,413.14126863785697,Kafka,4,4
100000,217.1778520093127,Kafka,4,4
100000,420.91437231624144,Kafka,4,4
1000000,24.48649195588384,Kafka,4,4
1000000,37.39640185971296,Kafka,4,4
1000000,24.0481976508708,Kafka,4,4
1000000,28.50344268934792,Kafka,4,4
1000000,24.99622032958726,Kafka,4,4
1000000,38.07233744113816,Kafka,4,4
1000000,24.572757609465064,Kafka,4,4
1000000,26.48471063937326,Kafka,4,4
100,21811.98494251704,Kafka,7,7
100,19814.101914699622,Kafka,7,7
100,28363.724095895977,Kafka,7,7
100,20558.61893881696,Kafka,7,7
100,17681.617535136233,Kafka,7,7
100,25789.50040617384,Kafka,7,7
100,11897.7094604844,Kafka,7,7
100,22027.97591946173,Kafka,7,7
100,18574.406573341446,Kafka,7,7
100,18101.625190452003,Kafka,7,7
100,20039.31415816973,Kafka,7,7
100,18509.34508433369,Kafka,7,7
100,19443.320969462933,Kafka,7,7
100,19759.36182104568,Kafka,7,7
1000,16113.2619023552,Kafka,7,7
1000,21273.69219105383,Kafka,7,7
1000,18233.816766890697,Kafka,7,7
1000,20319.80568768343,Kafka,7,7
1000,18791.0228481686,Kafka,7,7
1000,16600.50851767099,Kafka,7,7
1000,13565.850697956708,Kafka,7,7
1000,16128.634894991925,Kafka,7,7
1000,22173.34278624601,Kafka,7,7
1000,19945.32279314888,Kafka,7,7
1000,17047.02194357367,Kafka,7,7
1000,15029.075068382128,Kafka,7,7
1000,15725.936031529483,Kafka,7,7
1000,15827.408082649652,Kafka,7,7
10000,1589.392254019618,Kafka,7,7
10000,1332.654412139111,Kafka,7,7
10000,1358.967872501897,Kafka,7,7
10000,1547.3380274555493,Kafka,7,7
10000,1470.167427701674,Kafka,7,7
10000,1337.4981030906977,Kafka,7,7
10000,1244.0813435855928,Kafka,7,7
10000,1266.1543128728892,Kafka,7,7
10000,1213.169473524503,Kafka,7,7
10000,1168.1827370123308,Kafka,7,7
10000,1343.9241917502786,Kafka,7,7
10000,1798.5633346823147,Kafka,7,7
10000,1214.2640364188164,Kafka,7,7
10000,1425.0924003847906,Kafka,7,7
100000,120.8318575115114,Kafka,7,7
100000,180.27657212072276,Kafka,7,7
100000,127.3792093704246,Kafka,7,7
100000,202.12604403948367,Kafka,7,7
100000,128.36123795027905,Kafka,7,7
100000,189.0894382931392,Kafka,7,7
100000,181.7584306587795,Kafka,7,7
100000,180.05456198848137,Kafka,7,7
100000,184.81998381877025,Kafka,7,7
100000,183.68274816872943,Kafka,7,7
100000,123.28076981208122,Kafka,7,7
100000,186.17799989903577,Kafka,7,7
100000,124.36728082607816,Kafka,7,7
100000,123.62109098269406,Kafka,7,7
1000000,17.538554581191413,Kafka,7,7
1000000,17.99342936568107,Kafka,7,7
1000000,12.336975678533662,Kafka,7,7
1000000,12.295288485764678,Kafka,7,7
1000000,12.6276601096745,Kafka,7,7
1000000,18.199137671713626,Kafka,7,7
1000000,17.92367334608801,Kafka,7,7
1000000,12.62690034850245,Kafka,7,7
1000000,18.332407454168983,Kafka,7,7
1000000,18.32037952962552,Kafka,7,7
1000000,12.623074981065388,Kafka,7,7
1000000,18.32552987967578,Kafka,7,7
1000000,12.481051035876703,Kafka,7,7
1000000,17.648245260185558,Kafka,7,7
100,25444.539982803093,Kafka,13,13
100,25190.68567961165,Kafka,13,13
100,25358.15459328207,Kafka,13,13
100,27888.511285822977,Kafka,13,13
100,19442.001516300228,Kafka,13,13
100,22830.43544380798,Kafka,13,13
100,23187.189873417723,Kafka,13,13
100,22725.86206896552,Kafka,13,13
100,25127.0933468252,Kafka,13,13
100,26733.63751584284,Kafka,13,13
100,25975.31863240947,Kafka,13,13
100,26951.67512690356,Kafka,13,13
100,24521.444466922923,Kafka,13,13
100,26241.16634605649,Kafka,13,13
100,27034.27674548124,Kafka,13,13
100,21698.010942373578,Kafka,13,13
100,26291.71723300971,Kafka,13,13
100,26169.21751469694,Kafka,13,13
100,26058.35610891791,Kafka,13,13
100,28402.046709559752,Kafka,13,13
100,25259.34543983004,Kafka,13,13
100,22364.441968806965,Kafka,13,13
100,24036.729737933827,Kafka,13,13
100,27648.26713888186,Kafka,13,13
100,25388.297332927694,Kafka,13,13
100,25628.095818108,Kafka,13,13
1000,8826.212852425706,Kafka,13,13
1000,8845.57448314209,Kafka,13,13
1000,9721.893191597064,Kafka,13,13
1000,7049.544994944388,Kafka,13,13
1000,7140.936884127545,Kafka,13,13
1000,6638.609332113449,Kafka,13,13
1000,10277.200628388991,Kafka,13,13
1000,7132.891206399028,Kafka,13,13
1000,12137.910085054678,Kafka,13,13
1000,8923.996151703885,Kafka,13,13
1000,10488.456865127582,Kafka,13,13
1000,9861.171586248796,Kafka,13,13
1000,6984.685367702805,Kafka,13,13
1000,7271.900116261436,Kafka,13,13
1000,8851.477134763254,Kafka,13,13
1000,7975.2898880956,Kafka,13,13
1000,10263.580152281673,Kafka,13,13
1000,7142.207168495021,Kafka,13,13
1000,9107.393743366858,Kafka,13,13
1000,8194.96410152695,Kafka,13,13
1000,9097.88052000607,Kafka,13,13
1000,9032.624113475178,Kafka,13,13
1000,7700.647249190939,Kafka,13,13
1000,7315.512353179425,Kafka,13,13
1000,8707.323245103496,Kafka,13,13
1000,9772.367620206938,Kafka,13,13
10000,737.0576339737107,Kafka,13,13
10000,800.2523977788996,Kafka,13,13
10000,794.7783849423193,Kafka,13,13
10000,734.1637551268419,Kafka,13,13
10000,1385.9604662949823,Kafka,13,13
10000,729.5028071417732,Kafka,13,13
10000,707.1714155574675,Kafka,13,13
10000,795.5683715283047,Kafka,13,13
10000,670.7458912768648,Kafka,13,13
10000,686.0923139076862,Kafka,13,13
10000,727.640426715203,Kafka,13,13
10000,657.4496100476047,Kafka,13,13
10000,786.8645565147154,Kafka,13,13
10000,793.3181473044799,Kafka,13,13
10000,868.3279417711283,Kafka,13,13
10000,740.2834008097166,Kafka,13,13
10000,690.2583286992569,Kafka,13,13
10000,742.9394230283434,Kafka,13,13
10000,765.4389786716652,Kafka,13,13
10000,661.3703066491246,Kafka,13,13
10000,767.2431229773463,Kafka,13,13
10000,538.2320218468697,Kafka,13,13
10000,880.5721217022136,Kafka,13,13
10000,575.6011136421159,Kafka,13,13
10000,777.1315869323354,Kafka,13,13
10000,711.3089217074652,Kafka,13,13
100000,67.50328914077522,Kafka,13,13
100000,69.80741040287114,Kafka,13,13
100000,79.27291088109064,Kafka,13,13
100000,72.42283639297963,Kafka,13,13
100000,73.40425531914894,Kafka,13,13
100000,75.21989687594782,Kafka,13,13
100000,79.56491086715681,Kafka,13,13
100000,78.57035137988237,Kafka,13,13
100000,75.55443548387098,Kafka,13,13
100000,69.69834315354787,Kafka,13,13
100000,75.76216434484151,Kafka,13,13
100000,61.523046092184366,Kafka,13,13
100000,77.17884130982367,Kafka,13,13
100000,82.19314393750933,Kafka,13,13
100000,76.19288058571068,Kafka,13,13
100000,77.6958804523425,Kafka,13,13
100000,66.90531410708884,Kafka,13,13
100000,103.73213474066966,Kafka,13,13
100000,67.99959911805973,Kafka,13,13
100000,81.18582645460037,Kafka,13,13
100000,71.42495826799535,Kafka,13,13
100000,73.88100847075334,Kafka,13,13
100000,67.61871120754907,Kafka,13,13
100000,75.7346258709482,Kafka,13,13
100000,76.74852503655893,Kafka,13,13
100000,70.87726378449275,Kafka,13,13
1000000,4.035472299721005,Kafka,13,13
1000000,4.505406487785343,Kafka,13,13
1000000,6.716832483207919,Kafka,13,13
1000000,4.482949680149096,Kafka,13,13
1000000,5.558081956444848,Kafka,13,13
1000000,3.803245436105477,Kafka,13,13
1000000,4.284922115239199,Kafka,13,13
