message_size,throughput,strategy,local_network_size,foreign_network_size
1000,5610.568406134535,Kafka,19,19
1000,5292.345029831125,Kafka,19,19
1000,5187.622641509434,Kafka,19,19
1000,4279.605761940864,Kafka,19,19
1000,4266.828258344695,Kafka,19,19
1000,5089.294723035012,Kafka,19,19
1000,4468.4247751844,Kafka,19,19
1000,5152.035559147389,Kafka,19,19
1000,4705.977382875606,Kafka,19,19
1000,4921.521035598706,Kafka,19,19
1000,5517.185604528912,Kafka,19,19
1000,7089.969604863222,Kafka,19,19
1000,4788.138584900903,Kafka,19,19
1000,6174.287305686365,Kafka,19,19
1000,5494.278481012659,Kafka,19,19
1000,5849.827970046549,Kafka,19,19
1000,6428.440832910106,Kafka,19,19
1000,5633.867967218061,Kafka,19,19
1000,6252.483692925239,Kafka,19,19
1000,5353.018505410052,Kafka,19,19
1000,6327.06900942195,Kafka,19,19
1000,5211.202102921849,Kafka,19,19
1000,5488.16942797791,Kafka,19,19
1000,5360.8247422680415,Kafka,19,19
1000,5249.494541043267,Kafka,19,19
1000,4442.42516028068,Kafka,19,19
1000,5016.124125342257,Kafka,19,19
1000,4464.1039850874095,Kafka,19,19
1000,5047.012435547467,Kafka,19,19
1000,4135.906714917571,Kafka,19,19
1000,6450.516089860353,Kafka,19,19
1000,4266.235407085461,Kafka,19,19
1000,5594.252757259942,Kafka,19,19
1000,5314.337678084268,Kafka,19,19
1000,5166.345275550594,Kafka,19,19
1000,5548.745393042864,Kafka,19,19
1000,5881.766888629086,Kafka,19,19
1000,5666.565809379728,Kafka,19,19
